"num","classifier","noun","sent_num","cl_token_num","noun_token_num","file_name","cl_freq_for_noun","cl_prop_for_noun"
"３０多","名","专家",24,9,14,"010801.csv",3240,0.31
"一","部","电视剧",34,13,20,"010801.csv",1624,0.892
"一","名","空姐",36,30,31,"010801.csv",293,0.689
"一","名","飞行员",36,25,27,"010801.csv",2093,0.762
"一","辆","长相",45,32,33,"010801.csv",3,0.029
"一","个","故事",46,27,29,"010801.csv",4623,0.77
"一","个","影迷",49,2,3,"010801.csv",41,0.142
"三","家","企业",60,29,31,"010801.csv",34585,0.759
"等多","个","职务",63,13,18,"010801.csv",195,0.604
"几","个","队",73,16,17,"010801.csv",635,0.289
"一","个","举动",76,45,50,"010801.csv",303,0.907
"几","位","帅哥",80,33,34,"010801.csv",144,0.497
"两","位","金花",80,37,38,"010801.csv",99,0.196
"几","位","辣妹",81,9,11,"010801.csv",92,0.773
"一","个","球迷",83,43,44,"010801.csv",522,0.136
"一","场","音乐会",95,33,40,"010801.csv",758,0.769
"一","台","音乐会",98,45,51,"010801.csv",85,0.086
"两","个","专业",110,18,19,"010801.csv",2220,0.801
"七八","个","旅客",124,36,37,"010801.csv",174,0.047
"１０多","条","线",128,57,59,"010801.csv",2995,0.686
"５","条","线",129,14,16,"010801.csv",2995,0.686
"三","条","线",130,38,40,"010801.csv",2995,0.686
"一","场","活动",134,14,15,"010801.csv",1448,0.194
"第三","座","满贯",141,31,33,"010801.csv",73,0.093
"一","段","插曲",152,28,32,"010801.csv",173,0.283
"首","盘","莎拉波娃",152,2,3,"010801.csv",11,0.733
"两","个","人",157,7,8,"010801.csv",77696,0.793
"一","道","护城河",179,26,35,"010801.csv",19,0.613
"一","块","损坏",181,6,7,"010801.csv",9,0.205
"７０多","家","专卖店",208,9,10,"010801.csv",377,0.922
"８９５","家","经销商",208,13,14,"010801.csv",799,0.55
"一","个","上升期",216,56,64,"010801.csv",47,0.94
"１９","场","比赛",233,29,30,"010801.csv",68993,0.883
"６","场","比赛",240,18,19,"010801.csv",68993,0.883
"两","场","比赛",244,22,23,"010801.csv",68993,0.883
"一","名","乘客",249,20,21,"010801.csv",3896,0.827
"一","名","司机",249,15,17,"010801.csv",1674,0.582
"两","项","满贯",260,26,28,"010801.csv",276,0.351
"两","盘","轻松",265,19,20,"010801.csv",69,0.285
"一","份","企盼",270,22,23,"010801.csv",2,0.154
"一","项","调查",278,17,24,"010801.csv",4789,0.67
"第三","个","事项",285,8,10,"010801.csv",102,0.359
"两","个","因素",287,22,24,"010801.csv",7457,0.929
"一","个","作品",295,49,51,"010801.csv",604,0.097
"一","个","北京人",301,10,12,"010801.csv",102,0.823
"一","件","事情",303,10,13,"010801.csv",6971,0.82
"多","家","媒体",317,39,41,"010801.csv",5388,0.835
"百余","条","线路",351,11,12,"010801.csv",5094,0.948
"多","个","电网",356,8,9,"010801.csv",255,0.812
"几","台","设备",357,19,22,"010801.csv",1052,0.632
"１００","条","线路",369,9,10,"010801.csv",5094,0.948
"两","个","用电",371,15,17,"010801.csv",12,0.571
"一","台","空调",384,35,37,"010801.csv",165,0.569
"一","名","负责人",387,7,8,"010801.csv",986,0.171
"一","个","自白",419,19,23,"010801.csv",13,0.481
"２４","重","人格",424,16,17,"010801.csv",3,0.158
"一","个","人",439,16,17,"010801.csv",77696,0.793
"一","个","人",443,19,20,"010801.csv",77696,0.793
"一","个","人",443,34,35,"010801.csv",77696,0.793
"一","个","人",462,3,4,"010801.csv",77696,0.793
"一","个","人",467,11,13,"010801.csv",77696,0.793
"一","个","女人",498,17,20,"010801.csv",7105,0.917
"一","缕","色彩",501,15,18,"010801.csv",13,0.059
"数十","辆","坦克",504,26,27,"010801.csv",467,0.909
"两百多","名","士兵",504,22,23,"010801.csv",3032,0.878
"一","枚","硬币",508,33,34,"010801.csv",256,0.713
"一","枚","硬币",509,13,14,"010801.csv",256,0.713
"三","位","观众",510,26,27,"010801.csv",1370,0.333
"一","首","大侠",515,11,14,"010801.csv",19,0.422
"一","份","合同",525,7,13,"010801.csv",2952,0.699
"两","个","儿子",529,33,34,"010801.csv",3811,0.918
"数","家","媒体",530,7,9,"010801.csv",5388,0.835
"一","家","药店",530,19,20,"010801.csv",515,0.915
"一","位","肚子",538,2,6,"010801.csv",4,0.073
"２７３","名","人和",539,25,27,"010801.csv",74,0.44
"６３","个","孩子",539,29,30,"010801.csv",15623,0.864
"一","所","监狱",539,12,14,"010801.csv",215,0.494
"首","个","赛事",547,6,9,"010801.csv",709,0.122
"１２７","名","干部",562,20,24,"010801.csv",3780,0.688
"一","位","人才",593,28,35,"010801.csv",71,0.08
"两","间","隔音",611,29,31,"010801.csv",8,0.727
"一","份","报告",621,10,15,"010801.csv",8470,0.768
"１３７８","名","人员",629,20,25,"010801.csv",20667,0.678
"一","枚","经典",645,22,23,"010801.csv",19,0.061
"１００","颗","钻石",649,9,15,"010801.csv",213,0.842
"１００","颗","钻石",662,8,9,"010801.csv",213,0.842
"三","只","百货",668,7,10,"010801.csv",2,0.032
"２８","道","菜肴",673,9,10,"010801.csv",63,0.829
"一","根","萝卜",674,8,10,"010801.csv",9,0.091
"１０","场","比赛",679,15,16,"010801.csv",68993,0.883
"６","个","客场",680,34,35,"010801.csv",2147,0.914
"１１","场","比赛",683,5,6,"010801.csv",68993,0.883
"一","个","麦迪",683,15,18,"010801.csv",36,0.72
"一","座","中心",684,30,32,"010801.csv",243,0.031
"一","座","水电厂",685,32,33,"010801.csv",4,0.211
"两","个","奥运",696,26,27,"010801.csv",1692,0.391
"第一","份","提案",698,11,12,"010801.csv",714,0.399
"一","名","女孩",703,11,14,"010801.csv",1701,0.218
"一","名","女孩",704,13,14,"010801.csv",1701,0.218
"几","个","人",705,9,10,"010801.csv",77696,0.793
"一","名","男子",705,18,20,"010801.csv",11247,0.8
"４","台","机组",712,39,41,"010801.csv",1890,0.822
"５００多","位","老人",728,38,40,"010801.csv",3379,0.689
"两","个","奥运",749,26,27,"010801.csv",1692,0.391
"４０","名","人员",752,15,17,"010801.csv",20667,0.678
"一","项","法案",758,6,7,"010801.csv",374,0.741
"１０","名","志愿者",760,21,23,"010801.csv",4593,0.781
"１０","名","青年",761,9,13,"010801.csv",1394,0.583
"一","盘","形势",765,17,20,"010801.csv",24,0.085
"３２","名","保姆",771,8,11,"010801.csv",115,0.373
"２８","名","研究生",776,28,29,"010801.csv",319,0.518
"２６","个","研究生",777,6,7,"010801.csv",178,0.289
"两","家","银行",784,12,13,"010801.csv",9552,0.881
"５５","个","航班",789,24,25,"010801.csv",4321,0.894
"一","场","梦",814,49,50,"010801.csv",167,0.147
"一","个","美",815,26,27,"010801.csv",165,0.44
"一","名","军官",821,7,24,"010801.csv",542,0.618
"一","份","报告",823,6,7,"010801.csv",8470,0.768
"多","名","游客",828,23,24,"010801.csv",3909,0.826
"７００","名","民众",829,8,10,"010801.csv",493,0.692
"３万","台","手机",841,30,32,"010801.csv",378,0.103
"几","个","场景",858,16,17,"010801.csv",647,0.814
"一","棵","树",867,14,20,"010801.csv",577,0.742
"数","起","案",882,23,26,"010801.csv",460,0.553
"双","位","数字",907,15,16,"010801.csv",854,0.208
"一","个","小组",916,44,46,"010801.csv",5261,0.944
"一","家","公司",923,11,14,"010801.csv",70737,0.854
"一","家","医院",933,22,24,"010801.csv",5183,0.693
